category,sub_category,product_type,,
Makeup,Face,Face Primer,,
Makeup,Face,Concealer,,
Makeup,Face,Foundation,,
Makeup,Face,Compact,,
Makeup,Face,Contour,,
Makeup,Face,Loose Powder,,
Makeup,Face,Tinted Moisturizer,,
Makeup,Face,Blush,,
Makeup,Face,Bronzer,,
Makeup,Face,BB & CC cream,,
Makeup,Face,Highlighters,,
Makeup,Face,Setting Spray,,
Makeup,Face,Makeup Remover,,
Makeup,Face,Sindoor,,
Makeup,Eyes,Kajal,,
Makeup,Eyes,Eyeliner,,
Makeup,Eyes,Mascara,,
Makeup,Eyes,Eye Shadow,,
Makeup,Eyes,Eye Brow Enhancers,,
Makeup,Eyes,Eye Primer,,
Makeup,Eyes,False Eyelashes,,
Makeup,Eyes,Eye Makeup Remover,,
Makeup,Eyes,Under Eye Concealer,,
Makeup,Eyes,Contact Lenses,,
Makeup,Lips,Lipstick,,
Makeup,Lips,Liquid Lipstick,,
Makeup,Lips,Lip Crayon,,
Makeup,Lips,Lip Gloss,,
Makeup,Lips,Lip Liner,,
Makeup,Lips,Lip Plumper,,
Makeup,Lips,Lip Stain,,
Makeup,Lips,Lip Primer,,
Makeup,Nail,Nail Polish,,
Makeup,Nail,Nail Art Kits,,
Makeup,Nail,Nail Care,,
Makeup,Nail,Nail Polish Remover,,
Makeup,Nail,Nail Polish Sets,,
Makeup,Nail,Manicure & Pedicure Kits,,
Skin,Moisturizers,Moisturizers,,
Skin,Moisturizers,Face Moisturizer & Day Cream,,
Skin,Moisturizers,Night Cream,,
Skin,Moisturizers,Face Oils,,
Skin,Moisturizers,Serums & Essence,,
Skin,Moisturizers,All Purpose Gels/Creams,,
Skin,Cleansers,Face Wash,,
Skin,Cleansers,Cleanser,,
Skin,Cleansers,Micellar Water,,
Skin,Cleansers,Face Wipes,,
Skin,Cleansers,Makeup Remover,,
Skin,Cleansers,Scrubs & Exfoliators,,
Skin,Masks,Sheet Masks,,
Skin,Masks,Sleeping Masks,,
Skin,Masks,Masks & Peels,,
Skin,Masks,Face Packs,,
Skin,Masks,Face Bleach,,
Skin,Toners,Toners & Mists,,
Skin,Toners,Rose Water,,
Skin,Body Care,Lotions & Creams,,
Skin,Body Care,Body Butter,,
Skin,Body Care,Massage Oils,,
Skin,Body Care,Shower Gels & Body Wash,,
Skin,Body Care,Soaps,,
Skin,Body Care,Scrubs & Loofahs,,
Skin,Body Care,Bath Salts,,
Skin,Eye Care,Under Eye Cream & Serums,,
Skin,Eye Care,Eye Masks,,
Skin,Lip Care,Lip Balm,,
Skin,Lip Care,Lip Scrubs,,
Skin,Lip Care,Lip Masks,,
Skin,Sun Care,Face Sunscreen,,
Skin,Sun Care,Body Sunscreen,,
Hair,Hair Care,Shampoo,,
Hair,Hair Care,Dry Shampoo,,
Hair,Hair Care,Conditioner,,
Hair,Hair Care,Hair Oil,,
Hair,Hair Care,Hair Serum,,
Hair,Hair Care,Hair Creams & Masks,,
Hair,Hair Care,Hair Supplements,,
Bath & Body,Bath & Shower,Shower Gels & Body Wash,,
Bath & Body,Bath & Shower,Body Scrubs & Exfoliants,,
Bath & Body,Bath & Shower,Soaps,,
Bath & Body,Bath & Shower,Bath Salts,,
Bath & Body,Bath & Shower,Bath Accessories,,
Bath & Body,Body Care,Body Lotions & Moisturizers,,
Bath & Body,Body Care,Deodorants/Roll Ons,,
Bath & Body,Body Care,Body Butters,,
Bath & Body,Body Care,Massage Oils,,
Bath & Body,Body Care,Essential Oils,,
Bath & Body,Body Care,Talcum Powder,,
Bath & Body,Body Care,Intimate Care,,
Bath & Body,Shaving & Hair Removal,Body Razors & Cartridges,,
Bath & Body,Shaving & Hair Removal,Face & Eyebrow Razors,,
Bath & Body,Shaving & Hair Removal,Wax & Wax Strips,,
Bath & Body,Shaving & Hair Removal,Hair Removal Creams,,
Bath & Body,Shaving & Hair Removal,Epilators & Bikini Trimmers,,
Bath & Body,Shaving & Hair Removal,Pre & Post Wax Essentials,,
Bath & Body,Men's Grooming,Razors & Catridges,,
Bath & Body,Men's Grooming,"Shaving Cream, Foams & Gels",,
Bath & Body,Men's Grooming,Pre & Post Shaves,,
Bath & Body,Men's Grooming,Shaving Brush,,
Bath & Body,Men's Grooming,Shavers & Trimmers,,
Bath & Body,Men's Grooming,Beard & Moustache Care,,
Bath & Body,Hands & Feet,Intimate Care,,
