Retailer,Category,Sub Category,Match,format,E1,E2,E3,E4,E5,L1,L2,L3
Apna Chemist,Makeup,Face,100,Pharmacy,Lakme,Plum,Mamaearth,Ponds,Glow & Handsome,,,
Apna Chemist,Makeup,Eyes,40,Pharmacy,Lakme,Plum,,,,,,
Apna Chemist,Makeup,Lips,60,Pharmacy,Sebamed,Plum,Mamaearth,Nivea,,,,
Apna Chemist,Makeup,Nail,20,Pharmacy,Plum,VLCC,,,,GUBB,,
Apna Chemist,Skin,Moisturizers,100,Pharmacy,Mamaearth,Himalaya,Lakme,Nivea,Olay,Mcaffeine,Palmolive,Dr. Batra
Apna Chemist,Skin,Cleansers,100,Pharmacy,Lakme,Everyuth,Mamaearth,VLCC,Ponds,Beardo,Neutrogena,Mcaffeine
Apna Chemist,Skin,Masks,60,Pharmacy,Plum,Garnier,Mamaearth,VLCC,Himalaya,Bombay Shaving Company,Akmasq,Mcaffeine
Apna Chemist,Skin,Toners,40,Pharmacy,Biotique,Dabur,Mamaearth,VLCC,,Khadi,Nutriorg,
Apna Chemist,Skin,Body Care,100,Pharmacy,Dove,Nivea,Lakme,Ponds,Mamaearth,Sebamed,Cetaphil,Lotus
Apna Chemist,Skin,Eye Care,40,Pharmacy,Mamaearth,Himalaya,VLCC,Mcaffeine,,The Moms Co.,Eyebliss,Avarta
Apna Chemist,Skin,Lip Care,60,Pharmacy,Vaseline,Nivea,Dove,VLCC,Plum,Beardo,Chaptex,Sebamed
Apna Chemist,Skin,Sun Care,100,Pharmacy,Nivea,Lotus,VLCC,VLCC,,Sunstil,Neutrogena,
Apna Chemist,Hair,Hair Care,100,Pharmacy,Tresemme,Loreal Paris Paris,Mamaearth,Himalaya,Dove,Khadi,Indulekha,The Moms Co.
Apna Chemist,Bath & Body,Bath & Shower,100,Pharmacy,Nivea,Palmolive,Fiama,Plum,Dettol,GUBB,Biotique,Khadi
Apna Chemist,Bath & Body,Body Care,100,Pharmacy,Nivea,Dove,Fogg,Wild Stone,Garnier,Engage,,
Apna Chemist,Bath & Body,Shaving & Hair Removal,100,Pharmacy,Veet,Fem,Ayur,Mamaearth,,The Man Company,Bombay Shaving Company,Nair
Apna Chemist,Bath & Body,Men's Grooming,100,Pharmacy,Park Avenue,Nivea,Supermax,Old Spice,Cinthol,The Man Company,Bombay Shaving Company,
Apna Chemist,Bath & Body,Hands & Feet,100,Pharmacy,Himalaya,Cetaphil,Neutrogena,Lifebuoy,Dettol,GUBB,,
Apna Chemist,Bath & Body,Hygiene Essentials,100,Pharmacy,Savlon,Dettol,Himalaya,Livinguard,,Pigeon,Chicco,Saniscrub
Apna Chemist,Bath & Body,Oral Care,100,Pharmacy,Colgate,Sensodyne,Himalaya,Dabur,Pepsodent,Vicco,Perfora,Lever Ayush
Apna Chemist,Mom & Baby,Baby Care,100,Pharmacy,Johnson's,Himalaya,Dabur,Cerlac,Pampers,The Moms Co.,Hamdard,Mamypoko
Apna Chemist,Mom & Baby,Maternity Care,100,Pharmacy,Palmers,Pigeon,,,,The Moms Co.,Mustela,
Apna Chemist,Mom & Baby,Kids Care,100,Pharmacy,Lotus,Mamaearth,Horlicks,Nestle,Complan,Chicco,Sebamed,
Apna Chemist,Mom & Baby,Nursing & Feeding,100,Pharmacy,Pigeon,Chicco,Morisons,,,,,
Apna Chemist,Health & Wellness,Health Supplements,100,Pharmacy,GNC,Himalaya,Health Aid,Cureveda,Biohealth,Enorma,HK vitals,
Apna Chemist,Health & Wellness,Beauty Supplements,100,Pharmacy,Oziva,GNC,Health Aid,Plix,,Fixuphealth,HK vitals,
Apna Chemist,Health & Wellness,Sports Nutrition,100,Pharmacy,Oziva,GNC,Muscleblaze,Optimum Nutrition,Green Protein,Endura Mass,Ritebite,Phab
Apna Chemist,Health & Wellness,Weight Management,100,Pharmacy,Endura Mass,Optimum Nutrition,Muscleblaze,GNC,Lipton,Kellogg's,Himalaya,Sugar Free
Apna Chemist,Health & Wellness,Health Foods,80,Pharmacy,Dabur,True Elements,Delight Nuts,Cocosutra,Amul,Horlicks,Pedia Sure,Complan
Apollo,Makeup,Face,100,Pharmacy,Lakme,Vlcc,Lotus,Loreal Paris Paris,Maybelline,Fair & Lovely,Neutrogena,Organic Harvest
Apollo,Makeup,Eyes,40,Pharmacy,Lakme,Colorbar,Himalaya,Loreal Paris Paris,Maybelline,Faces Canada,Color FX,Nykaa
Apollo,Makeup,Nail,20,Pharmacy,Lakme,Colorbar,,,,Dr. Organic,Half N Half,
Apollo,Skin,Moisturizers,100,Pharmacy,Lakme,Ponds,Vaseline,Garnier,Dove,Biotique,Mamaearth,Savlon
Apollo,Skin,Cleansers,100,Pharmacy,Lakme,Garnier,Patanjali,Olay,Dove,Cetaphil,Neutrogena,Indulekha
Apollo,Skin,Masks,60,Pharmacy,Nykaa,Garnier,Lakme,Ponds,Everyuth,The Man Company,VLCC,
Apollo,Skin,Toners,40,Pharmacy,Nivea,Ponds,Patanjali,Dabur,Apollo Pharmacy,Dr. Organic,Banjaras,Kapiva
Apollo,Skin,Body Care,100,Pharmacy,Parachute,Dettol,Nivea,Ponds,Lakme,Rexona,Medimix,Neko
Apollo,Skin,Eye Care,40,Pharmacy,Mamaearth,Himalaya,Biotique,,,Eyebliss,Eyecojic,Cosmoq
Apollo,Skin,Lip Care,60,Pharmacy,Nivea,Himalaya,Maybelline,Nykaa,Vaseline,Cetafresh,Good Vibes,Organic Harvest
Apollo,Skin,Sun Care,100,Pharmacy,VLCC,Sebamed,Lotus,Vaseline,Apollo Pharmacy,Cetaphil,Neutrogena,
Apollo,Hair,Hair Care,100,Pharmacy,Dove,Garnier,Tresemme,Patanjali,Sunsilk,Dr. Organic,Mamaearth,Chik
Apollo,Bath & Body,Bath & Shower,100,Pharmacy,Nivea,Fiama,Pears,Cinthol,Dove,Mcaffeine,Dr. Organic,Everyuth
Apollo,Bath & Body,Body Care,100,Pharmacy,Old Spice,Himalaya,VLCC,Cinthol,Mcaffeine,Figaro,Dr. Organic,Mamaearth
Apollo,Bath & Body,Shaving & Hair Removal,100,Pharmacy,Gillette,Old Spice,Axe,Dettol,Veet,Vicco,Bombay Shaving Company,Vi-John
Apollo,Bath & Body,Men's Grooming,100,Pharmacy,Gillette,Old Spice,Axe,Dettol,Veet,Vicco,Bombay Shaving Company,Vi-John
Apollo,Bath & Body,Hands & Feet,100,Pharmacy,Apollo Pharmacy,Dettol,Lifebuoy,Himalaya,Savlon,Justhuman,Medimix,Hamam
Apollo,Bath & Body,Hygiene Essentials,100,Pharmacy,Apollo Pharmacy,Dettol,Lifebuoy,,Savlon,Justhuman,,
Apollo,Bath & Body,Oral Care,100,Pharmacy,Colgate,Dabur,Oral-B,Listerine,Sensodyne,Vicco,Pepsodent,Dabur
Apollo,Mom & Baby,Baby Care,100,Pharmacy,Johnson's,Himalaya,Dove,Pampers,Mamypoko,Chicco,Mamaearth,Sebamed
Apollo,Mom & Baby,Maternity Care,100,Pharmacy,Himalaya,Sebamed,Mederma,,,Pregna,Fixderma,Palmerss
