brand_name,Link,,,
Akmasq,/static/image/comp_logo/Akmasq.jpg,,,
Amrutam,/static/image/comp_logo/Amrutam.jpg,,,
Amul,/static/image/comp_logo/Amul.jpg,,,
Apollo Pharmacy,/static/image/comp_logo/Apollo Pharmacy.jpg,,,
Avarta,/static/image/comp_logo/Avarta.jpg,,,
Axe,/static/image/comp_logo/Axe.jpg,,,
Ayur,/static/image/comp_logo/Ayur.jpg,,,
Baidyanath,/static/image/comp_logo/Baidyanath.jpg,,,
Banjaras,/static/image/comp_logo/Banjaras.jpg,,,
Beardo,/static/image/comp_logo/Beardo.jpg,,,
Bio-oil,/static/image/comp_logo/Bio-oil.jpg,,,
Bioderma,/static/image/comp_logo/Bioderma.jpg,,,
Biohealth,/static/image/comp_logo/Biohealth.jpg,,,
Biolage,/static/image/comp_logo/Biolage.jpg,,,
Biosoft,/static/image/comp_logo/Biosoft.jpg,,,
Biotique,/static/image/comp_logo/Biotique.jpg,,,
Blue Heaven,/static/image/comp_logo/Blue Heaven.jpg,,,
Bodyguard,/static/image/comp_logo/Bodyguard.jpg,,,
Bombae,/static/image/comp_logo/Bombae.jpg,,,
Bombay Shaving Company,/static/image/comp_logo/Bombay Shaving Company.jpg,,,
Calcimax,/static/image/comp_logo/Calcimax.jpg,,,
Calibar,/static/image/comp_logo/Calibar.jpg,,,
Cerlac,/static/image/comp_logo/Cerlac.jpg,,,
Cetafresh,/static/image/comp_logo/Cetafresh.jpg,,,
Cetaphil,/static/image/comp_logo/Cetaphil.jpg,,,
Chaptex,/static/image/comp_logo/Chaptex.jpg,,,
Chicco,/static/image/comp_logo/Chicco.jpg,,,
Chik,/static/image/comp_logo/Chik.jpg,,,
Cinthol,/static/image/comp_logo/Cinthol.jpg,,,
Closeup,/static/image/comp_logo/Closeup.jpg,,,
Cocosutra,/static/image/comp_logo/Cocosutra.jpg,,,
Colgate,/static/image/comp_logo/Colgate.jpg,,,
Color FX,/static/image/comp_logo/Color FX.jpg,,,
Colorbar,/static/image/comp_logo/Colorbar.jpg,,,
Complan,/static/image/comp_logo/Complan.jpg,,,
Cosmoq,/static/image/comp_logo/Cosmoq.jpg,,,
Cureveda,/static/image/comp_logo/Cureveda.jpg,,,
Dabur,/static/image/comp_logo/Dabur.jpg,,,
Delight Nuts,/static/image/comp_logo/Delight Nuts.jpg,,,
Dettol,/static/image/comp_logo/Dettol.jpg,,,
Dove,/static/image/comp_logo/Dove.jpg,,,
Dr. Batra,/static/image/comp_logo/Dr. Batra.jpg,,,
Dr. Organic,/static/image/comp_logo/Dr. Organic.jpg,,,
Endura,/static/image/comp_logo/Endura.jpg,,,
Endura Mass,/static/image/comp_logo/Endura Mass.jpg,,,
Engage,/static/image/comp_logo/Engage.jpg,,,
Enorma,/static/image/comp_logo/Enorma.jpg,,,
Ensure,/static/image/comp_logo/Ensure.jpg,,,
Everyuth,/static/image/comp_logo/Everyuth.jpg,,,
Evion,/static/image/comp_logo/Evion.jpg,,,
Eyebliss,/static/image/comp_logo/Eyebliss.jpg,,,
Eyecojic,/static/image/comp_logo/Eyecojic.jpg,,,
Faces Canada,/static/image/comp_logo/Faces Canada.jpg,,,
Fair & Lovely,/static/image/comp_logo/Fair & Lovely.jpg,,,
Feather,/static/image/comp_logo/Feather.jpg,,,
Fem,/static/image/comp_logo/Fem.jpg,,,
Fiama,/static/image/comp_logo/Fiama.jpg,,,
Figaro,/static/image/comp_logo/Figaro.jpg,,,
Fitspire,/static/image/comp_logo/Fitspire.jpg,,,
Fixderma,/static/image/comp_logo/Fixderma.jpg,,,
Fogg,/static/image/comp_logo/Fogg.jpg,,,
Fixuphealth,/static/image/comp_logo/Fixuphealth.jpg,,,
Garnier,/static/image/comp_logo/Garnier.jpg,,,
Gillette,/static/image/comp_logo/Gillette.jpg,,,
Ginni,/static/image/comp_logo/Ginni.jpg,,,
Glow & Handsome,/static/image/comp_logo/Glow & Handsome.jpg,,,
Glucozone,/static/image/comp_logo/Glucozone.jpg,,,
GNC,/static/image/comp_logo/GNC.jpg,,,
Good Vibes,/static/image/comp_logo/Good Vibes.jpg,,,
GRD,/static/image/comp_logo/GRD.jpg,,,
Green Protein,/static/image/comp_logo/Green Protein.jpg,,,
GUBB,/static/image/comp_logo/GUBB.jpg,,,
Half N Half,/static/image/comp_logo/Half N Half.jpg,,,
Hamam,/static/image/comp_logo/Hamam.jpg,,,
Hamdard,/static/image/comp_logo/Hamdard.jpg,,,
Happilo,/static/image/comp_logo/Happilo.jpg,,,
Health Aid,/static/image/comp_logo/Health Aid.jpg,,,
HealthHey,/static/image/comp_logo/HealthHey.jpg,,,
HealthKart,/static/image/comp_logo/HealthKart.jpg,,,
HealthVit,/static/image/comp_logo/HealthVit.jpg,,,
Himalaya,/static/image/comp_logo/Himalaya.jpg,,,
HK vitals,/static/image/comp_logo/HK vitals.jpg,,,
Honeybee,/static/image/comp_logo/Honeybee.jpg,,,
Horlicks,/static/image/comp_logo/Horlicks.jpg,,,
Huggies,/static/image/comp_logo/Huggies.jpg,,,
Indulekha,/static/image/comp_logo/Indulekha.jpg,,,
Inlife,/static/image/comp_logo/Inlife.jpg,,,
Johnson's,/static/image/comp_logo/Johnson's.jpg,,,
Joy,/static/image/comp_logo/Joy.jpg,,,
Just Hurbs,/static/image/comp_logo/Just Hurbs.jpg,,,
Justhuman,/static/image/comp_logo/Justhuman.jpg,,,
Kapiva,/static/image/comp_logo/Kapiva.jpg,,,
Kellogg's,/static/image/comp_logo/Kellogg's.jpg,,,
Khadi,/static/image/comp_logo/Khadi.jpg,,,
Khadi naturals,/static/image/comp_logo/Khadi naturals.jpg,,,
Lakme,/static/image/comp_logo/Lakme.jpg,,,
Lever Ayush,/static/image/comp_logo/Lever Ayush.jpg,,,
Lifebuoy,/static/image/comp_logo/Lifebuoy.jpg,,,
Lipton,/static/image/comp_logo/Lipton.jpg,,,
Listerine,/static/image/comp_logo/Listerine.jpg,,,
Livinguard,/static/image/comp_logo/Livinguard.jpg,,,
Loreal Paris,/static/image/comp_logo/Loreal Paris.jpg,,,
Lotus,/static/image/comp_logo/Lotus.jpg,,,
Lux,/static/image/comp_logo/Lux.jpg,,,
M.A.C,/static/image/comp_logo/M.A.C.jpg,,,
Mamaearth,/static/image/comp_logo/Mamaearth.jpg,,,
Mamypoko,/static/image/comp_logo/Mamypoko.jpg,,,
Maybelline,/static/image/comp_logo/Maybelline.jpg,,,
Mcaffeine,/static/image/comp_logo/Mcaffeine.jpg,,,
Mederma,/static/image/comp_logo/Mederma.jpg,,,
Medimix,/static/image/comp_logo/Medimix.jpg,,,
Minimalist,/static/image/comp_logo/Minimalist.jpg,,,
Mom & World,/static/image/comp_logo/Mom & World.jpg,,,
Morisons,/static/image/comp_logo/Morisons.jpg,,,
Mothercare,/static/image/comp_logo/Mothercare.jpg,,,
Muscleblaze,/static/image/comp_logo/Muscleblaze.jpg,,,
Musletech,/static/image/comp_logo/Musletech.jpg,,,
Mustela,/static/image/comp_logo/Mustela.jpg,,,
Mygalmm,/static/image/comp_logo/Mygalmm.jpg,,,
Nair,/static/image/comp_logo/Nair.jpg,,,
Neko,/static/image/comp_logo/Neko.jpg,,,
Nestle,/static/image/comp_logo/Nestle.jpg,,,
Neutrogena,/static/image/comp_logo/Neutrogena.jpg,,,
Nirvasa,/static/image/comp_logo/Nirvasa.jpg,,,
Nivea,/static/image/comp_logo/Nivea.jpg,,,
Nourish Vitals,/static/image/comp_logo/Nourish Vitals.jpg,,,
Nutriorg,/static/image/comp_logo/Nutriorg.jpg,,,
Nykaa,/static/image/comp_logo/Nykaa.jpg,,,
Olay,/static/image/comp_logo/Olay.jpg,,,
Old Spice,/static/image/comp_logo/Old Spice.jpg,,,
Optimum Nutrition,/static/image/comp_logo/Optimum Nutrition.jpg,,,
Oral-B,/static/image/comp_logo/Oral-B.jpg,,,
Organic Harvest,/static/image/comp_logo/Organic Harvest.jpg,,,
Organic India,/static/image/comp_logo/Organic India.jpg,,,
Oziva,/static/image/comp_logo/Oziva.jpg,,,
Palmers,/static/image/comp_logo/Palmers.jpg,,,
Palmolive,/static/image/comp_logo/Palmolive.jpg,,,
Pampers,/static/image/comp_logo/Pampers.jpg,,,
Parachute,/static/image/comp_logo/Parachute.jpg,,,
Park Avenue,/static/image/comp_logo/Park Avenue.jpg,,,
Patanjali,/static/image/comp_logo/Patanjali.jpg,,,
Pears,/static/image/comp_logo/Pears.jpg,,,
Pedia Sure,/static/image/comp_logo/Pedia Sure.jpg,,,
Pee safe,/static/image/comp_logo/Pee safe.jpg,,,
Peebuddy,/static/image/comp_logo/Peebuddy.jpg,,,
Pepsodent,/static/image/comp_logo/Pepsodent.jpg,,,
Perfora,/static/image/comp_logo/Perfora.jpg,,,
Phab,/static/image/comp_logo/Phab.jpg,,,
Philips,/static/image/comp_logo/Philips.jpg,,,
Pigeon,/static/image/comp_logo/Pigeon.jpg,,,
Plix,/static/image/comp_logo/Plix.jpg,,,
Plum,/static/image/comp_logo/Plum.jpg,,,
Plush,/static/image/comp_logo/Plush.jpg,,,
Ponds,/static/image/comp_logo/Ponds.jpg,,,
Pregna,/static/image/comp_logo/Pregna.jpg,,,
Protinex,/static/image/comp_logo/Protinex.jpg,,,
Revital,/static/image/comp_logo/Revital.jpg,,,
Rexona,/static/image/comp_logo/Rexona.jpg,,,
Rica,/static/image/comp_logo/Rica.jpg,,,
Ritebite,/static/image/comp_logo/Ritebite.jpg,,,
Saffola Oats,/static/image/comp_logo/Saffola Oats.jpg,,,
Sanfe,/static/image/comp_logo/Sanfe.jpg,,,
Saniscrub,/static/image/comp_logo/Saniscrub.jpg,,,
Savlon,/static/image/comp_logo/Savlon.jpg,,,
Sebamed,/static/image/comp_logo/Sebamed.jpg,,,
Sensodyne,/static/image/comp_logo/Sensodyne.jpg,,,
Sirona,/static/image/comp_logo/Sirona.jpg,,,
Soezi,/static/image/comp_logo/Soezi.jpg,,,
St. Botanica,/static/image/comp_logo/St. Botanica.jpg,,,
Sugar,/static/image/comp_logo/Sugar.jpg,,,
Sugar Free,/static/image/comp_logo/Sugar Free.jpg,,,
Sunsilk,/static/image/comp_logo/Sunsilk.jpg,,,
Sunstil,/static/image/comp_logo/Sunstil.jpg,,,
