retailer_name,category,sub_category,product _type,
Apna Chemist,Makeup,Face,Concealer,
Apna Chemist,Makeup,Face,Compact,
Apna Chemist,Makeup,Face,Contour,
Apna Chemist,Makeup,Face,Blush,
Apna Chemist,Makeup,Face,Bronzer,
Apna Chemist,Makeup,Face,BB & CC cream,
Apna Chemist,Makeup,Face,Highlighters,
Apna Chemist,Makeup,Face,Setting Spray,
Apna Chemist,Makeup,Face,Sindoor,
Apna Chemist,Makeup,Eyes,Eyeliner,
Apna Chemist,Makeup,Eyes,Mascara,
Apna Chemist,Makeup,Eyes,Eye Shadow,
Apna Chemist,Makeup,Eyes,Eye Brow Enhancers,
Apna Chemist,Makeup,Lips,Lipstick,
Apna Chemist,Makeup,Lips,Liquid Lipstick,
Apna Chemist,Makeup,Lips,Lip Crayon,
Apna Chemist,Makeup,Lips,Lip Gloss,
Apna Chemist,Makeup,Lips,Lip Liner,
Apna Chemist,Makeup,Nail,Nail Art Kits,
Apna Chemist,Skin,Moisturizers,Moisturizers,
Apna Chemist,Skin,Moisturizers,Face Moisturizer & Day Cream,
Apna Chemist,Skin,Moisturizers,Night Cream,
Apna Chemist,Skin,Moisturizers,Face Oils,
Apna Chemist,Skin,Moisturizers,Serums & Essence,
Apna Chemist,Skin,Moisturizers,All Purpose Gels/Creams,
Apna Chemist,Skin,Cleansers,Face Wash,
Apna Chemist,Skin,Cleansers,Cleanser,
Apna Chemist,Skin,Cleansers,Micellar Water,
Apna Chemist,Skin,Cleansers,Face Wipes,
Apna Chemist,Skin,Cleansers,Makeup Remover,
Apna Chemist,Skin,Cleansers,Scrubs & Exfoliators,
Apna Chemist,Skin,Masks,Sheet Masks,
Apna Chemist,Skin,Masks,Sleeping Masks,
Apna Chemist,Skin,Masks,Masks & Peels,
Apna Chemist,Skin,Masks,Face Packs,
Apna Chemist,Skin,Masks,Face Bleach,
Apna Chemist,Skin,Toners,Toners & Mists,
Apna Chemist,Skin,Toners,Rose Water,
Apna Chemist,Skin,Body Care,Lotions & Creams,
Apna Chemist,Skin,Body Care,Body Butter,
Apna Chemist,Skin,Body Care,Massage Oils,
Apna Chemist,Skin,Body Care,Shower Gels & Body Wash,
Apna Chemist,Skin,Body Care,Soaps,
Apna Chemist,Skin,Body Care,Scrubs & Loofahs,
Apna Chemist,Skin,Body Care,Bath Salts,
Apna Chemist,Skin,Eye Care,Under Eye Cream & Serums,
Apna Chemist,Skin,Eye Care,Eye Masks,
Apna Chemist,Skin,Lip Care,Lip Balm,
Apna Chemist,Skin,Lip Care,Lip Scrubs,
Apna Chemist,Skin,Lip Care,Lip Masks,
Apna Chemist,Skin,Sun Care,Face Sunscreen,
Apna Chemist,Skin,Sun Care,Body Sunscreen,
Apna Chemist,Hair,Hair Care,Shampoo,
Apna Chemist,Hair,Hair Care,Dry Shampoo,
Apna Chemist,Hair,Hair Care,Conditioner,
Apna Chemist,Hair,Hair Care,Hair Oil,
Apna Chemist,Hair,Hair Care,Hair Serum,
Apna Chemist,Hair,Hair Care,Hair Creams & Masks,
Apna Chemist,Hair,Hair Care,Hair Supplements,
Apna Chemist,Bath & Body,Bath & Shower,Shower Gels & Body Wash,
Apna Chemist,Bath & Body,Bath & Shower,Body Scrubs & Exfoliants,
Apna Chemist,Bath & Body,Bath & Shower,Soaps,
Apna Chemist,Bath & Body,Bath & Shower,Bath Salts,
Apna Chemist,Bath & Body,Body Care,Body Lotions & Moisturizers,
Apna Chemist,Bath & Body,Body Care,Deodorants/Roll Ons,
Apna Chemist,Bath & Body,Body Care,Body Butters,
Apna Chemist,Bath & Body,Body Care,Massage Oils,
Apna Chemist,Bath & Body,Body Care,Essential Oils,
Apna Chemist,Bath & Body,Body Care,Talcum Powder,
Apna Chemist,Bath & Body,Body Care,Intimate Care,
Apna Chemist,Bath & Body,Shaving & Hair Removal,Body Razors & Cartridges,
Apna Chemist,Bath & Body,Shaving & Hair Removal,Face & Eyebrow Razors,
Apna Chemist,Bath & Body,Shaving & Hair Removal,Wax & Wax Strips,
Apna Chemist,Bath & Body,Shaving & Hair Removal,Hair Removal Creams,
Apna Chemist,Bath & Body,Shaving & Hair Removal,Epilators & Bikini Trimmers,
Apna Chemist,Bath & Body,Men's Grooming,Razors & Catridges,
Apna Chemist,Bath & Body,Men's Grooming,"Shaving Cream, Foams & Gels",
Apna Chemist,Bath & Body,Men's Grooming,Pre & Post Shaves,
Apna Chemist,Bath & Body,Men's Grooming,Shaving Brush,
Apna Chemist,Bath & Body,Men's Grooming,Shavers & Trimmers,
Apna Chemist,Bath & Body,Men's Grooming,Beard & Moustache Care,
